Date,MaxT,MinT,WindSpeed,Humidity ,Precipitation
08-01-06 0:00,29.5,21.8,1.6,70.2,0
09-01-06 0:00,30.1,21,1.6,67.4,0
10-01-06 0:00,29.9,21.1,1.7,65.2,0
11-01-06 0:00,29.8,20.8,1.5,69,0
12-01-06 0:00,29.6,20.5,2.1,69.5,0
13-01-06 0:00,29.7,19.8,2.1,62.6,0
14-01-06 0:00,29.7,19.7,2.1,62.5,0
15-01-06 0:00,29.4,19.9,1.8,67.3,0
16-01-06 0:00,30.3,19.9,1.3,66.4,0
17-01-06 0:00,31,20.7,1.3,67.7,0
18-01-06 0:00,31.5,20.6,1.4,68.9,0
19-01-06 0:00,32.1,20.4,1.6,61.2,0
20-01-06 0:00,33.9,20.9,1.7,58.3,0
21-01-06 0:00,32.7,21,1.4,57.3,0
22-01-06 0:00,33.2,20.4,2,61.1,0
23-01-06 0:00,33,21.1,2.5,49.2,0
24-01-06 0:00,31.4,20.9,2.3,52.6,0
25-01-06 0:00,29,20.2,2.5,57.1,0
26-01-06 0:00,27,19.6,1.8,56.3,0
27-01-06 0:00,29.3,18.1,2.3,57.8,0
28-01-06 0:00,29.3,16.8,2.1,56.6,0
29-01-06 0:00,29.8,17.7,1.9,55.9,0
30-01-06 0:00,29.7,18.5,2,53.3,0
31-01-06 0:00,30.5,19.9,1.9,61.2,0
01-02-06 0:00,30.3,19.5,1.8,65.9,0
02-02-06 0:00,30.2,19.9,2,62.9,0
03-02-06 0:00,31.1,19.2,2.7,63.1,0
04-02-06 0:00,32,20,1.9,55.9,0
05-02-06 0:00,32.1,19.3,1.8,55.4,0
06-02-06 0:00,31,20.1,1.9,60.4,0
07-02-06 0:00,30.9,19.8,1.8,51.2,0
08-02-06 0:00,30.2,19.7,1.8,53.7,0
09-02-06 0:00,29.6,19.9,2,55.1,0
10-02-06 0:00,31.2,19.6,2.2,53,0
11-02-06 0:00,32.2,20.1,2.1,57.3,0
12-02-06 0:00,31.3,19.8,1.8,57.3,0
13-02-06 0:00,31.8,19.7,1.7,54.6,0
14-02-06 0:00,34.1,20.6,1.7,52.9,0
15-02-06 0:00,33.5,20.9,1.3,56.2,0
16-02-06 0:00,33.4,20.4,1.8,55.1,0
17-02-06 0:00,32.8,21.8,1.9,58.9,0
18-02-06 0:00,33.1,22.6,1.9,57.4,0
19-02-06 0:00,33.9,22.4,1.7,54,0
20-02-06 0:00,33.9,22.5,2,59.9,0
21-02-06 0:00,34.2,21.8,1.8,58.2,0
22-02-06 0:00,34.7,21.9,1.7,53.3,0
23-02-06 0:00,34.9,21.4,2,50.9,0
24-02-06 0:00,35.3,21,2,45.7,0
25-02-06 0:00,35.3,20.8,1.8,45.4,0
26-02-06 0:00,35.6,21.6,2.1,49.7,0
27-02-06 0:00,34.8,21.4,2.6,52.3,0
28-02-06 0:00,34.6,22.6,2.5,56,0
01-03-06 0:00,33.6,23.5,2.5,56.2,0
02-03-06 0:00,33.1,22.8,2.8,66,0
03-03-06 0:00,32.1,24.3,2.8,71.3,4.8
04-03-06 0:00,33.1,25.3,2.3,71.7,0
05-03-06 0:00,32.9,24.6,2.3,69.6,4.8
06-03-06 0:00,33.7,24.1,2.2,67,0
07-03-06 0:00,33.3,24,2.2,65.5,0
08-03-06 0:00,33,24.1,2.2,64.3,0
09-03-06 0:00,32.7,24.2,3.2,63.5,0
10-03-06 0:00,32.5,23.8,2.6,66.3,0
11-03-06 0:00,30.8,22.7,2.1,76.2,0
12-03-06 0:00,32.5,23.4,1.7,64.8,0
13-03-06 0:00,32.8,23.8,2.3,61.5,0
14-03-06 0:00,33.3,24.3,2.6,63.2,0
15-03-06 0:00,33.7,25.3,2.4,70.2,0
16-03-06 0:00,33.3,24.8,2.4,59.6,0
17-03-06 0:00,32.7,24.2,2.3,60.1,0
18-03-06 0:00,33.8,23.6,3,56.7,0
19-03-06 0:00,33.2,24.4,2.4,53.4,0
20-03-06 0:00,34.1,23.5,2,56.9,0
21-03-06 0:00,35.9,23.5,2.2,50.1,0
22-03-06 0:00,35.4,24.4,2.5,48.5,0
23-03-06 0:00,36.4,24.8,2.2,49.8,0
24-03-06 0:00,35.1,24.6,1.6,48.8,0
